Order_ID,Order_Date,Shipment_ID,Shipment_Date,Tax_Calculated_Date (UTC),Posted_Date,Marketplace,Merchant_ID,Fulfillment,ASIN,SKU,Transaction_Type,Tax_Collection_Model,Tax_Collection_Responsible_Party,Product_Tax_Code,Quantity,Currency,Buyer_Exemption_Code,Buyer_Exemption_Domain,Buyer_Exemption_Certificate_Id,Display_Price,Display_Price_Tax_Inclusive,TaxExclusive_Selling_Price,Total_Tax,Total_Tax_Collected_By_Amazon,Financial_Component,Ship_From_City,Ship_From_State,Ship_From_Country,Ship_From_Postal_Code,Ship_From_Tax_Location_Code,Ship_To_City,Ship_To_State,Ship_To_Country,Ship_To_Postal_Code,Ship_To_Location_Code,Taxed_Location_Code,Tax_Address_Role,Jurisdiction_Level,Jurisdiction_Name,Display_Promo_Amount,Display_Promo_Tax_Inclusive,isPromoApplied,postPromoTaxableBasis,prePromoTaxableBasis,Promo_Amount_Basis,Promo_ID_Domain,promoAmountTax,Promotion_Identifier,Promo_Rule_Reason_Code,Promo_Tax_Price_Type,Tax_Amount,Tax_Amount_Collected_By_Amazon,Taxed_Jurisdiction_Tax_Rate,Tax_Category,Tax_Type,Tax_Calculation_Reason_Code,NonTaxable_Amount,Taxable_Amount
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,District,GREATER WENATCHEE REGIONAL EVENTS CENTER PUBLIC FAC DISTRICT,,,,,,,,,,,,,0.15,0.001,Tax,Local Sales and Use Tax,Taxable,0.0,154.95
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,0.0,13.02,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,State,WA,,,,,,,,,,,,,10.08,0.065,Tax,Retail Sales and Use Tax,Taxable,0.0,154.95
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,City,NOT APPLICABLE,,,,,,,,,,,,,0.0,0.0,Tax,,ZeroRated,154.95,0.0
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,County,CHELAN,,,,,,,,,,,,,2.79,0.018,Tax,Local Sales and Use Tax,Taxable,0.0,154.95
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,District,GREATER WENATCHEE REGIONAL EVENTS CENTER PUBLIC FAC DISTRICT,,,,,,,,,,,,,0.15,0.001,Tax,Local Sales and Use Tax,Taxable,0.0,154.95
111-1648201-2312253,2024-07-29+00:00,GWfx6QLTt,2024-08-09+00:00,2024-08-09+08:42:41,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B00DM9P9M0,693554602600,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,41.95,0.0,41.95,0.0,3.67,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,BREMERTON,WA,US,98312-1439,480350000.0,480350000.0,ShipTo,State,WA,,,Y,0.0,0.0,-2.1,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,2.59,0.065,Tax,Retail Sales and Use Tax,Taxable,0.0,39.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,-2.1,PromotionIdAndCouponCode,0.0,422800321.0,Amazon Funded Discount US,NoReductionInTaxabaleBasis,,,,,,,,
111-1648201-2312253,2024-07-29+00:00,GWfx6QLTt,2024-08-09+00:00,2024-08-09+08:42:41,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B00DM9P9M0,693554602600,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,41.95,0.0,41.95,,,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,BREMERTON,WA,US,98312-1439,480350000.0,480350000.0,ShipTo,City,NOT APPLICABLE,,,Y,0.0,0.0,-2.1,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,39.85,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,-2.1,PromotionIdAndCouponCode,0.0,422800321.0,Amazon Funded Discount US,NoReductionInTaxabaleBasis,,,,,,,,
111-1648201-2312253,2024-07-29+00:00,GWfx6QLTt,2024-08-09+00:00,2024-08-09+08:42:41,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B00DM9P9M0,693554602600,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,41.95,0.0,41.95,,,OUR_PRICE,Dallas,TX,US,75261-4034,441130000.0,BREMERTON,WA,US,98312-1439,480350000.0,480350000.0,ShipTo,County,KITSAP,,,Y,0.0,0.0,-2.1,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,1.08,0.027,Tax,Local Sales and Use Tax,Taxable,0.0,39.85
